name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.95,1,1,302,473
inf,1,2,0.95,1,1,310,443
inf,1,3,0.95,1,1,295,473
inf,1,4,0.95,1,1,NA,61
inf,1,5,0.95,1,1,261,507
inf,1,6,0.95,1,1,308,458
inf,1,7,0.95,1,1,NA,76
inf,1,8,0.95,1,1,302,487
inf,1,9,0.95,1,1,264,481
inf,1,10,0.95,1,1,288,476
inf,1,11,0.95,1,1,266,474
inf,1,12,0.95,1,1,309,458
inf,1,13,0.95,1,1,303,475
inf,1,14,0.95,1,1,NA,53
inf,1,15,0.95,1,1,304,484
inf,1,16,0.95,1,1,264,476
inf,1,17,0.95,1,1,286,472
inf,1,18,0.95,1,1,305,474
inf,1,19,0.95,1,1,271,1243
inf,1,20,0.95,1,1,293,458
inf,1,21,0.95,1,1,NA,73
inf,1,22,0.95,1,1,292,480
inf,1,23,0.95,1,1,302,502
inf,1,24,0.95,1,1,289,455
inf,1,25,0.95,1,1,298,459
inf,1,26,0.95,1,1,292,473
inf,1,27,0.95,1,1,304,522
inf,1,28,0.95,1,1,267,477
inf,1,29,0.95,1,1,276,479
inf,1,30,0.95,1,1,253,500
inf,1,31,0.95,1,1,282,483
inf,1,32,0.95,1,1,303,468
inf,1,33,0.95,1,1,267,485
inf,1,34,0.95,1,1,259,505
inf,1,35,0.95,1,1,292,475
inf,1,36,0.95,1,1,267,499
inf,1,37,0.95,1,1,301,497
inf,1,38,0.95,1,1,311,458
inf,1,39,0.95,1,1,307,444
inf,1,40,0.95,1,1,303,481
inf,1,41,0.95,1,1,304,476
inf,1,42,0.95,1,1,255,1246
inf,1,43,0.95,1,1,306,470
inf,1,44,0.95,1,1,291,473
inf,1,45,0.95,1,1,260,506
inf,1,46,0.95,1,1,5,44
inf,1,47,0.95,1,1,NA,53
inf,1,48,0.95,1,1,307,467
inf,1,49,0.95,1,1,307,474
inf,1,50,0.95,1,1,274,475
inf,2,1,0.95,1,2,294,465
inf,2,2,0.95,1,2,300,466
inf,2,3,0.95,1,2,313,456
inf,2,4,0.95,1,2,301,474
inf,2,5,0.95,1,2,280,477
inf,2,6,0.95,1,2,NA,42
inf,2,7,0.95,1,2,260,508
inf,2,8,0.95,1,2,306,472
inf,2,9,0.95,1,2,302,488
inf,2,10,0.95,1,2,315,465
inf,2,11,0.95,1,2,293,471
inf,2,12,0.95,1,2,290,487
inf,2,13,0.95,1,2,NA,53
inf,2,14,0.95,1,2,268,494
inf,2,15,0.95,1,2,271,472
inf,2,16,0.95,1,2,303,491
inf,2,17,0.95,1,2,284,1234
inf,2,18,0.95,1,2,274,491
inf,2,19,0.95,1,2,279,471
inf,2,20,0.95,1,2,10,11
inf,2,21,0.95,1,2,307,469
inf,2,22,0.95,1,2,287,465
inf,2,23,0.95,1,2,NA,62
inf,2,24,0.95,1,2,NA,57
inf,2,25,0.95,1,2,263,509
inf,2,26,0.95,1,2,266,497
inf,2,27,0.95,1,2,301,467
inf,2,28,0.95,1,2,301,465
inf,2,29,0.95,1,2,290,514
inf,2,30,0.95,1,2,281,464
inf,2,31,0.95,1,2,290,461
inf,2,32,0.95,1,2,NA,36
inf,2,33,0.95,1,2,272,485
inf,2,34,0.95,1,2,276,463
inf,2,35,0.95,1,2,312,450
inf,2,36,0.95,1,2,271,483
inf,2,37,0.95,1,2,257,496
inf,2,38,0.95,1,2,293,487
inf,2,39,0.95,1,2,265,499
inf,2,40,0.95,1,2,303,463
inf,2,41,0.95,1,2,295,487
inf,2,42,0.95,1,2,300,486
inf,2,43,0.95,1,2,256,467
inf,2,44,0.95,1,2,270,506
inf,2,45,0.95,1,2,NA,60
inf,2,46,0.95,1,2,270,485
inf,2,47,0.95,1,2,NA,40
inf,2,48,0.95,1,2,258,498
inf,2,49,0.95,1,2,260,1250
inf,2,50,0.95,1,2,310,452
inf,3,1,0.95,1,3,259,484
inf,3,2,0.95,1,3,262,506
inf,3,3,0.95,1,3,275,478
inf,3,4,0.95,1,3,NA,82
inf,3,5,0.95,1,3,306,482
inf,3,6,0.95,1,3,286,482
inf,3,7,0.95,1,3,303,456
inf,3,8,0.95,1,3,264,478
inf,3,9,0.95,1,3,269,492
inf,3,10,0.95,1,3,NA,59
inf,3,11,0.95,1,3,314,463
inf,3,12,0.95,1,3,11,35
inf,3,13,0.95,1,3,288,478
inf,3,14,0.95,1,3,304,487
inf,3,15,0.95,1,3,276,485
inf,3,16,0.95,1,3,NA,65
inf,3,17,0.95,1,3,310,466
inf,3,18,0.95,1,3,NA,50
inf,3,19,0.95,1,3,NA,71
inf,3,20,0.95,1,3,255,496
inf,3,21,0.95,1,3,274,503
inf,3,22,0.95,1,3,312,470
inf,3,23,0.95,1,3,291,460
inf,3,24,0.95,1,3,301,482
inf,3,25,0.95,1,3,NA,53
inf,3,26,0.95,1,3,305,481
inf,3,27,0.95,1,3,268,471
inf,3,28,0.95,1,3,302,482
inf,3,29,0.95,1,3,NA,52
inf,3,30,0.95,1,3,302,447
inf,3,31,0.95,1,3,NA,71
inf,3,32,0.95,1,3,NA,61
inf,3,33,0.95,1,3,316,460
inf,3,34,0.95,1,3,282,476
inf,3,35,0.95,1,3,304,454
inf,3,36,0.95,1,3,NA,61
inf,3,37,0.95,1,3,NA,31
inf,3,38,0.95,1,3,258,496
inf,3,39,0.95,1,3,301,481
inf,3,40,0.95,1,3,287,479
inf,3,41,0.95,1,3,267,483
inf,3,42,0.95,1,3,286,462
inf,3,43,0.95,1,3,294,459
inf,3,44,0.95,1,3,262,479
inf,3,45,0.95,1,3,302,492
inf,3,46,0.95,1,3,259,1249
inf,3,47,0.95,1,3,293,461
inf,3,48,0.95,1,3,282,485
inf,3,49,0.95,1,3,270,503
inf,3,50,0.95,1,3,NA,69
inf,4,1,0.95,1,4,255,480
inf,4,2,0.95,1,4,292,459
inf,4,3,0.95,1,4,NA,61
inf,4,4,0.95,1,4,307,454
inf,4,5,0.95,1,4,274,485
inf,4,6,0.95,1,4,280,503
inf,4,7,0.95,1,4,301,522
inf,4,8,0.95,1,4,259,502
inf,4,9,0.95,1,4,304,452
inf,4,10,0.95,1,4,294,475
inf,4,11,0.95,1,4,292,485
inf,4,12,0.95,1,4,279,477
inf,4,13,0.95,1,4,259,499
inf,4,14,0.95,1,4,277,498
inf,4,15,0.95,1,4,11,22
inf,4,16,0.95,1,4,299,503
inf,4,17,0.95,1,4,NA,60
inf,4,18,0.95,1,4,267,465
inf,4,19,0.95,1,4,303,473
inf,4,20,0.95,1,4,300,480
inf,4,21,0.95,1,4,286,472
inf,4,22,0.95,1,4,272,483
inf,4,23,0.95,1,4,270,510
inf,4,24,0.95,1,4,271,487
inf,4,25,0.95,1,4,303,479
inf,4,26,0.95,1,4,273,478
inf,4,27,0.95,1,4,282,479
inf,4,28,0.95,1,4,261,487
inf,4,29,0.95,1,4,303,488
inf,4,30,0.95,1,4,299,483
inf,4,31,0.95,1,4,309,481
inf,4,32,0.95,1,4,308,460
inf,4,33,0.95,1,4,299,474
inf,4,34,0.95,1,4,303,481
inf,4,35,0.95,1,4,284,478
inf,4,36,0.95,1,4,303,471
inf,4,37,0.95,1,4,284,470
inf,4,38,0.95,1,4,280,464
inf,4,39,0.95,1,4,293,478
inf,4,40,0.95,1,4,NA,72
inf,4,41,0.95,1,4,250,518
inf,4,42,0.95,1,4,276,474
inf,4,43,0.95,1,4,279,486
inf,4,44,0.95,1,4,306,463
inf,4,45,0.95,1,4,281,475
inf,4,46,0.95,1,4,302,463
inf,4,47,0.95,1,4,301,481
inf,4,48,0.95,1,4,275,474
inf,4,49,0.95,1,4,302,467
inf,4,50,0.95,1,4,299,485
inf,1,1,0.95,1.5,1,286,898
inf,1,2,0.95,1.5,1,280,509
inf,1,3,0.95,1.5,1,276,456
inf,1,4,0.95,1.5,1,275,520
inf,1,5,0.95,1.5,1,271,473
inf,1,6,0.95,1.5,1,255,474
inf,1,7,0.95,1.5,1,291,451
inf,1,8,0.95,1.5,1,256,492
inf,1,9,0.95,1.5,1,222,483
inf,1,10,0.95,1.5,1,NA,104
inf,1,11,0.95,1.5,1,262,880
inf,1,12,0.95,1.5,1,314,449
inf,1,13,0.95,1.5,1,266,466
inf,1,14,0.95,1.5,1,223,514
inf,1,15,0.95,1.5,1,238,476
inf,1,16,0.95,1.5,1,282,512
inf,1,17,0.95,1.5,1,285,1617
inf,1,18,0.95,1.5,1,270,519
inf,1,19,0.95,1.5,1,275,1249
inf,1,20,0.95,1.5,1,274,863
inf,1,21,0.95,1.5,1,NA,50
inf,1,22,0.95,1.5,1,286,522
inf,1,23,0.95,1.5,1,258,488
inf,1,24,0.95,1.5,1,238,467
inf,1,25,0.95,1.5,1,277,522
inf,1,26,0.95,1.5,1,312,473
inf,1,27,0.95,1.5,1,10,15
inf,1,28,0.95,1.5,1,256,490
inf,1,29,0.95,1.5,1,NA,56
inf,1,30,0.95,1.5,1,279,1241
inf,1,31,0.95,1.5,1,228,483
inf,1,32,0.95,1.5,1,267,500
inf,1,33,0.95,1.5,1,NA,76
inf,1,34,0.95,1.5,1,256,510
inf,1,35,0.95,1.5,1,NA,126
inf,1,36,0.95,1.5,1,262,473
inf,1,37,0.95,1.5,1,275,472
inf,1,38,0.95,1.5,1,303,467
inf,1,39,0.95,1.5,1,NA,70
inf,1,40,0.95,1.5,1,249,464
inf,1,41,0.95,1.5,1,285,533
inf,1,42,0.95,1.5,1,237,466
inf,1,43,0.95,1.5,1,2,51
inf,1,44,0.95,1.5,1,272,884
inf,1,45,0.95,1.5,1,236,900
inf,1,46,0.95,1.5,1,NA,1245
inf,1,47,0.95,1.5,1,282,498
inf,1,48,0.95,1.5,1,197,1226
inf,1,49,0.95,1.5,1,NA,133
inf,1,50,0.95,1.5,1,261,504
inf,2,1,0.95,1.5,2,280,523
inf,2,2,0.95,1.5,2,NA,504
inf,2,3,0.95,1.5,2,NA,48
inf,2,4,0.95,1.5,2,305,445
inf,2,5,0.95,1.5,2,323,424
inf,2,6,0.95,1.5,2,NA,506
inf,2,7,0.95,1.5,2,269,500
inf,2,8,0.95,1.5,2,265,481
inf,2,9,0.95,1.5,2,267,845
inf,2,10,0.95,1.5,2,281,531
inf,2,11,0.95,1.5,2,NA,849
inf,2,12,0.95,1.5,2,321,433
inf,2,13,0.95,1.5,2,NA,92
inf,2,14,0.95,1.5,2,265,500
inf,2,15,0.95,1.5,2,4,47
inf,2,16,0.95,1.5,2,285,457
inf,2,17,0.95,1.5,2,267,480
inf,2,18,0.95,1.5,2,238,477
inf,2,19,0.95,1.5,2,NA,85
inf,2,20,0.95,1.5,2,NA,119
inf,2,21,0.95,1.5,2,312,432
inf,2,22,0.95,1.5,2,297,520
inf,2,23,0.95,1.5,2,NA,106
inf,2,24,0.95,1.5,2,NA,499
inf,2,25,0.95,1.5,2,NA,58
inf,2,26,0.95,1.5,2,287,1236
inf,2,27,0.95,1.5,2,251,859
inf,2,28,0.95,1.5,2,287,1959
inf,2,29,0.95,1.5,2,291,1964
inf,2,30,0.95,1.5,2,266,477
inf,2,31,0.95,1.5,2,279,486
inf,2,32,0.95,1.5,2,273,473
inf,2,33,0.95,1.5,2,NA,69
inf,2,34,0.95,1.5,2,NA,101
inf,2,35,0.95,1.5,2,250,501
inf,2,36,0.95,1.5,2,276,1234
inf,2,37,0.95,1.5,2,242,494
inf,2,38,0.95,1.5,2,289,512
inf,2,39,0.95,1.5,2,231,850
inf,2,40,0.95,1.5,2,NA,100
inf,2,41,0.95,1.5,2,298,461
inf,2,42,0.95,1.5,2,230,865
inf,2,43,0.95,1.5,2,262,1588
inf,2,44,0.95,1.5,2,33,48
inf,2,45,0.95,1.5,2,282,531
inf,2,46,0.95,1.5,2,256,492
inf,2,47,0.95,1.5,2,5,20
inf,2,48,0.95,1.5,2,NA,78
inf,2,49,0.95,1.5,2,NA,503
inf,2,50,0.95,1.5,2,NA,482
inf,3,1,0.95,1.5,3,NA,34
inf,3,2,0.95,1.5,3,NA,70
inf,3,3,0.95,1.5,3,285,1610
inf,3,4,0.95,1.5,3,288,861
inf,3,5,0.95,1.5,3,313,447
inf,3,6,0.95,1.5,3,257,505
inf,3,7,0.95,1.5,3,NA,68
inf,3,8,0.95,1.5,3,277,1254
inf,3,9,0.95,1.5,3,10,100
inf,3,10,0.95,1.5,3,249,462
inf,3,11,0.95,1.5,3,229,525
inf,3,12,0.95,1.5,3,291,1591
inf,3,13,0.95,1.5,3,NA,118
inf,3,14,0.95,1.5,3,NA,101
inf,3,15,0.95,1.5,3,268,512
inf,3,16,0.95,1.5,3,247,471
inf,3,17,0.95,1.5,3,280,461
inf,3,18,0.95,1.5,3,213,1221
inf,3,19,0.95,1.5,3,302,431
inf,3,20,0.95,1.5,3,301,441
inf,3,21,0.95,1.5,3,282,531
inf,3,22,0.95,1.5,3,316,439
inf,3,23,0.95,1.5,3,270,498
inf,3,24,0.95,1.5,3,NA,107
inf,3,25,0.95,1.5,3,NA,61
inf,3,26,0.95,1.5,3,304,493
inf,3,27,0.95,1.5,3,246,471
inf,3,28,0.95,1.5,3,316,437
inf,3,29,0.95,1.5,3,284,447
inf,3,30,0.95,1.5,3,264,484
inf,3,31,0.95,1.5,3,NA,67
inf,3,32,0.95,1.5,3,NA,844
inf,3,33,0.95,1.5,3,282,495
inf,3,34,0.95,1.5,3,NA,500
inf,3,35,0.95,1.5,3,273,868
inf,3,36,0.95,1.5,3,267,517
inf,3,37,0.95,1.5,3,281,506
inf,3,38,0.95,1.5,3,NA,96
inf,3,39,0.95,1.5,3,277,505
inf,3,40,0.95,1.5,3,NA,856
inf,3,41,0.95,1.5,3,289,881
inf,3,42,0.95,1.5,3,280,507
inf,3,43,0.95,1.5,3,299,457
inf,3,44,0.95,1.5,3,291,449
inf,3,45,0.95,1.5,3,277,466
inf,3,46,0.95,1.5,3,NA,104
inf,3,47,0.95,1.5,3,NA,120
inf,3,48,0.95,1.5,3,10,74
inf,3,49,0.95,1.5,3,256,870
inf,3,50,0.95,1.5,3,242,462
inf,4,1,0.95,1.5,4,277,474
inf,4,2,0.95,1.5,4,251,864
inf,4,3,0.95,1.5,4,306,487
inf,4,4,0.95,1.5,4,277,481
inf,4,5,0.95,1.5,4,292,1595
inf,4,6,0.95,1.5,4,NA,489
inf,4,7,0.95,1.5,4,NA,114
inf,4,8,0.95,1.5,4,274,862
inf,4,9,0.95,1.5,4,NA,146
inf,4,10,0.95,1.5,4,248,517
inf,4,11,0.95,1.5,4,271,456
inf,4,12,0.95,1.5,4,NA,50
inf,4,13,0.95,1.5,4,268,507
inf,4,14,0.95,1.5,4,296,457
inf,4,15,0.95,1.5,4,282,1606
inf,4,16,0.95,1.5,4,242,891
inf,4,17,0.95,1.5,4,314,434
inf,4,18,0.95,1.5,4,NA,492
inf,4,19,0.95,1.5,4,NA,53
inf,4,20,0.95,1.5,4,280,1623
inf,4,21,0.95,1.5,4,290,506
inf,4,22,0.95,1.5,4,264,504
inf,4,23,0.95,1.5,4,291,450
inf,4,24,0.95,1.5,4,255,885
inf,4,25,0.95,1.5,4,288,880
inf,4,26,0.95,1.5,4,278,451
inf,4,27,0.95,1.5,4,276,504
inf,4,28,0.95,1.5,4,NA,68
inf,4,29,0.95,1.5,4,280,1249
inf,4,30,0.95,1.5,4,266,1247
inf,4,31,0.95,1.5,4,238,524
inf,4,32,0.95,1.5,4,NA,129
inf,4,33,0.95,1.5,4,293,507
inf,4,34,0.95,1.5,4,NA,94
inf,4,35,0.95,1.5,4,284,452
inf,4,36,0.95,1.5,4,NA,63
inf,4,37,0.95,1.5,4,300,490
inf,4,38,0.95,1.5,4,283,895
inf,4,39,0.95,1.5,4,NA,858
inf,4,40,0.95,1.5,4,257,512
inf,4,41,0.95,1.5,4,NA,80
inf,4,42,0.95,1.5,4,294,455
inf,4,43,0.95,1.5,4,287,519
inf,4,44,0.95,1.5,4,232,850
inf,4,45,0.95,1.5,4,NA,89
inf,4,46,0.95,1.5,4,273,506
inf,4,47,0.95,1.5,4,244,876
inf,4,48,0.95,1.5,4,271,489
inf,4,49,0.95,1.5,4,256,475
