name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.85,1,1,223,26070
inf,1,2,0.85,1,1,219,NA
inf,1,3,0.85,1,1,204,27167
inf,1,4,0.85,1,1,NA,NA
inf,1,5,0.85,1,1,22,NA
inf,1,6,0.85,1,1,232,20592
inf,1,7,0.85,1,1,NA,26786
inf,1,8,0.85,1,1,222,NA
inf,1,9,0.85,1,1,18,24596
inf,1,10,0.85,1,1,178,23140
inf,1,11,0.85,1,1,23,25320
inf,1,12,0.85,1,1,233,23496
inf,1,13,0.85,1,1,233,NA
inf,1,14,0.85,1,1,NA,27144
inf,1,15,0.85,1,1,232,NA
inf,1,16,0.85,1,1,8,NA
inf,1,17,0.85,1,1,174,26046
inf,1,18,0.85,1,1,231,23512
inf,1,19,0.85,1,1,156,NA
inf,1,20,0.85,1,1,193,26413
inf,1,21,0.85,1,1,NA,NA
inf,1,22,0.85,1,1,204,NA
inf,1,23,0.85,1,1,231,NA
inf,1,24,0.85,1,1,185,20585
inf,1,25,0.85,1,1,201,27160
inf,1,26,0.85,1,1,196,25699
inf,1,27,0.85,1,1,223,26790
inf,1,28,0.85,1,1,23,NA
inf,1,29,0.85,1,1,170,27139
inf,1,30,0.85,1,1,8,NA
inf,1,31,0.85,1,1,180,25321
inf,1,32,0.85,1,1,218,NA
inf,1,33,0.85,1,1,25,NA
inf,1,34,0.85,1,1,20,NA
inf,1,35,0.85,1,1,200,NA
inf,1,36,0.85,1,1,143,NA
inf,1,37,0.85,1,1,229,23517
inf,1,38,0.85,1,1,232,23514
inf,1,39,0.85,1,1,205,NA
inf,1,40,0.85,1,1,218,25713
inf,1,41,0.85,1,1,224,24619
inf,1,42,0.85,1,1,25,25331
inf,1,43,0.85,1,1,223,23139
inf,1,44,0.85,1,1,192,23149
inf,1,45,0.85,1,1,41,27178
inf,1,46,0.85,1,1,3,25708
inf,1,47,0.85,1,1,NA,NA
inf,1,48,0.85,1,1,233,22413
inf,1,49,0.85,1,1,227,26048
inf,1,50,0.85,1,1,39,119
inf,2,1,0.85,1,2,189,23877
inf,2,2,0.85,1,2,214,20219
inf,2,3,0.85,1,2,229,16915
inf,2,4,0.85,1,2,221,NA
inf,2,5,0.85,1,2,172,25703
inf,2,6,0.85,1,2,NA,24986
inf,2,7,0.85,1,2,8,NA
inf,2,8,0.85,1,2,221,22769
inf,2,9,0.85,1,2,218,NA
inf,2,10,0.85,1,2,230,20580
inf,2,11,0.85,1,2,186,25316
inf,2,12,0.85,1,2,198,NA
inf,2,13,0.85,1,2,NA,27154
inf,2,14,0.85,1,2,152,27151
inf,2,15,0.85,1,2,40,99
inf,2,16,0.85,1,2,204,23153
inf,2,17,0.85,1,2,184,NA
inf,2,18,0.85,1,2,173,NA
inf,2,19,0.85,1,2,156,NA
inf,2,20,0.85,1,2,8,26779
inf,2,21,0.85,1,2,235,22414
inf,2,22,0.85,1,2,178,23511
inf,2,23,0.85,1,2,NA,NA
inf,2,24,0.85,1,2,NA,NA
inf,2,25,0.85,1,2,33,NA
inf,2,26,0.85,1,2,15,18752
inf,2,27,0.85,1,2,199,26405
inf,2,28,0.85,1,2,204,25325
inf,2,29,0.85,1,2,190,NA
inf,2,30,0.85,1,2,183,NA
inf,2,31,0.85,1,2,188,25694
inf,2,32,0.85,1,2,NA,NA
inf,2,33,0.85,1,2,25,91
inf,2,34,0.85,1,2,168,25322
inf,2,35,0.85,1,2,230,NA
inf,2,36,0.85,1,2,49,102
inf,2,37,0.85,1,2,33,21691
inf,2,38,0.85,1,2,202,NA
inf,2,39,0.85,1,2,9,NA
inf,2,40,0.85,1,2,209,16941
inf,2,41,0.85,1,2,205,20939
inf,2,42,0.85,1,2,227,NA
inf,2,43,0.85,1,2,8,NA
inf,2,44,0.85,1,2,160,NA
inf,2,45,0.85,1,2,NA,22061
inf,2,46,0.85,1,2,33,21682
inf,2,47,0.85,1,2,NA,NA
inf,2,48,0.85,1,2,10,24972
inf,2,49,0.85,1,2,154,NA
inf,2,50,0.85,1,2,225,NA
inf,3,1,0.85,1,3,28,NA
inf,3,2,0.85,1,3,7,26062
inf,3,3,0.85,1,3,35,26421
inf,3,4,0.85,1,3,NA,24963
inf,3,5,0.85,1,3,234,23505
inf,3,6,0.85,1,3,188,NA
inf,3,7,0.85,1,3,205,NA
inf,3,8,0.85,1,3,146,26786
inf,3,9,0.85,1,3,21,116
inf,3,10,0.85,1,3,NA,21683
inf,3,11,0.85,1,3,233,24236
inf,3,12,0.85,1,3,7,24221
inf,3,13,0.85,1,3,179,27151
inf,3,14,0.85,1,3,231,NA
inf,3,15,0.85,1,3,173,25693
inf,3,16,0.85,1,3,NA,25323
inf,3,17,0.85,1,3,234,NA
inf,3,18,0.85,1,3,NA,NA
inf,3,19,0.85,1,3,NA,NA
inf,3,20,0.85,1,3,13,NA
inf,3,21,0.85,1,3,159,NA
inf,3,22,0.85,1,3,231,27152
inf,3,23,0.85,1,3,191,27145
inf,3,24,0.85,1,3,229,NA
inf,3,25,0.85,1,3,NA,NA
inf,3,26,0.85,1,3,231,27142
inf,3,27,0.85,1,3,16,24958
inf,3,28,0.85,1,3,225,26051
inf,3,29,0.85,1,3,NA,23527
inf,3,30,0.85,1,3,204,24959
inf,3,31,0.85,1,3,NA,26064
inf,3,32,0.85,1,3,NA,NA
inf,3,33,0.85,1,3,232,NA
inf,3,34,0.85,1,3,146,22407
inf,3,35,0.85,1,3,209,NA
inf,3,36,0.85,1,3,NA,24958
inf,3,37,0.85,1,3,NA,NA
inf,3,38,0.85,1,3,5,NA
inf,3,39,0.85,1,3,215,24226
inf,3,40,0.85,1,3,187,24965
inf,3,41,0.85,1,3,29,23153
inf,3,42,0.85,1,3,177,24235
inf,3,43,0.85,1,3,196,NA
inf,3,44,0.85,1,3,20,19113
inf,3,45,0.85,1,3,226,NA
inf,3,46,0.85,1,3,72,84
inf,3,47,0.85,1,3,197,24962
inf,3,48,0.85,1,3,183,NA
inf,3,49,0.85,1,3,29,24972
inf,3,50,0.85,1,3,NA,NA
inf,4,1,0.85,1,4,8,24226
inf,4,2,0.85,1,4,188,NA
inf,4,3,0.85,1,4,NA,22764
inf,4,4,0.85,1,4,212,26431
inf,4,5,0.85,1,4,178,NA
inf,4,6,0.85,1,4,154,24605
inf,4,7,0.85,1,4,220,20949
inf,4,8,0.85,1,4,5,27168
inf,4,9,0.85,1,4,207,24595
