name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.9,1,1,264,11841
inf,1,2,0.9,1,1,263,7083
inf,1,3,0.9,1,1,250,14028
inf,1,4,0.9,1,1,NA,87
inf,1,5,0.9,1,1,207,7440
inf,1,6,0.9,1,1,272,9643
inf,1,7,0.9,1,1,NA,12214
inf,1,8,0.9,1,1,263,8186
inf,1,9,0.9,1,1,213,11447
inf,1,10,0.9,1,1,239,6342
inf,1,11,0.9,1,1,27,38
inf,1,12,0.9,1,1,275,4907
inf,1,13,0.9,1,1,270,8540
inf,1,14,0.9,1,1,NA,103
inf,1,15,0.9,1,1,271,8180
inf,1,16,0.9,1,1,8,64
inf,1,17,0.9,1,1,232,5629
inf,1,18,0.9,1,1,271,10015
inf,1,19,0.9,1,1,223,11452
inf,1,20,0.9,1,1,243,9268
inf,1,21,0.9,1,1,NA,123
inf,1,22,0.9,1,1,249,8920
inf,1,23,0.9,1,1,273,8549
inf,1,24,0.9,1,1,242,9641
inf,1,25,0.9,1,1,248,4880
inf,1,26,0.9,1,1,241,8907
inf,1,27,0.9,1,1,262,9620
inf,1,28,0.9,1,1,214,7444
inf,1,29,0.9,1,1,226,4521
inf,1,30,0.9,1,1,12,67
inf,1,31,0.9,1,1,235,10368
inf,1,32,0.9,1,1,261,11089
inf,1,33,0.9,1,1,220,9634
inf,1,34,0.9,1,1,203,7813
inf,1,35,0.9,1,1,246,8914
inf,1,36,0.9,1,1,218,8538
inf,1,37,0.9,1,1,268,9657
inf,1,38,0.9,1,1,273,10013
inf,1,39,0.9,1,1,259,8905
inf,1,40,0.9,1,1,259,6344
inf,1,41,0.9,1,1,267,9634
inf,1,42,0.9,1,1,203,8907
inf,1,43,0.9,1,1,264,11080
inf,1,44,0.9,1,1,246,7081
inf,1,45,0.9,1,1,199,9664
inf,1,46,0.9,1,1,3,69
inf,1,47,0.9,1,1,NA,98
inf,1,48,0.9,1,1,274,6352
inf,1,49,0.9,1,1,269,8531
inf,1,50,0.9,1,1,218,4537
inf,2,1,0.9,1,2,241,8174
inf,2,2,0.9,1,2,258,10381
inf,2,3,0.9,1,2,273,6350
inf,2,4,0.9,1,2,261,9997
inf,2,5,0.9,1,2,228,5989
inf,2,6,0.9,1,2,NA,101
inf,2,7,0.9,1,2,15,68
inf,2,8,0.9,1,2,263,10370
inf,2,9,0.9,1,2,262,7087
inf,2,10,0.9,1,2,272,7449
inf,2,11,0.9,1,2,243,5611
inf,2,12,0.9,1,2,247,10732
inf,2,13,0.9,1,2,NA,96
inf,2,14,0.9,1,2,220,8919
inf,2,15,0.9,1,2,224,6711
inf,2,16,0.9,1,2,253,7450
inf,2,17,0.9,1,2,238,10020
