Index,Variant,"Region, subregion, country or area *",Notes,Location code,ISO3 Alpha-code,ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100+
18580,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1950,2180.7469999999998,1944.922,1789.317,1672.4159999999999,1585.6735000000001,1528.864,1481.6315,1439.1990000000001,1403.029,1366.0305000000001,1333.3325,1301.5940000000001,1264.078,1229.3885,1195.298,1168.8295000000001,1154.3945000000001,1140.2315000000001,1122.019,1099.6005,1077.3040000000001,1054.3175000000001,1025.1479999999999,990.06,954.23950000000002,921.36800000000005,886.91449999999998,847.21100000000001,805.65650000000005,767.3125,734.68550000000005,706.63549999999998,681.93899999999996,661.42899999999997,645.27800000000002,630.65700000000004,613.91,595.07100000000003,576.47699999999998,557.56150000000002,536.14549999999997,512.89800000000002,489.80950000000001,468.14449999999999,448.40499999999997,430.1225,412.94049999999999,396.38049999999998,380.59249999999997,364.12,345.56349999999998,328.23399999999998,312.39600000000002,294.66649999999998,274.57799999999997,255.3595,240.72749999999999,229.46950000000001,218.55549999999999,207.0025,194.4975,182.2715,171.392,161.10650000000001,148.4315,132.3365,117.7045,107.1135,98.798000000000002,90.663499999999999,81.868499999999997,74.057000000000002,67.801500000000004,62.156999999999996,55.997,49.154499999999999,43.457000000000001,39.1935,35.43,31.738499999999998,27.934000000000001,24.695499999999999,22.125,19.748999999999999,16.9895,13.804500000000001,11.393000000000001,9.9465000000000003,8.782,7.47,5.93,4.4550000000000001,3.25,2.3174999999999999,1.615,1.0994999999999999,0.72950000000000004,0.47299999999999998,0.29949999999999999,0.185,0.25700000000000001
18581,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1951,2242.1030000000001,2032.9884999999999,1897.088,1761.8440000000001,1656.0409999999999,1575.5074999999999,1522.2529999999999,1476.9590000000001,1435.4079999999999,1399.5319999999999,1362.6785,1330.0695000000001,1298.3035,1260.7125000000001,1225.915,1191.7049999999999,1165.0854999999999,1150.444,1136.0509999999999,1117.604,1094.9635000000001,1072.4645,1049.3230000000001,1020.0965,985.05150000000003,949.33150000000001,916.56949999999995,882.23749999999995,842.66700000000003,801.23400000000004,762.971,730.38199999999995,702.33900000000006,677.63800000000003,657.10749999999996,640.91150000000005,626.23900000000003,609.45100000000002,590.58100000000002,571.94399999999996,552.98599999999999,531.55449999999996,508.32,485.26049999999998,463.62549999999999,443.90249999999997,425.61700000000002,408.40449999999998,391.78399999999999,375.90300000000002,359.26850000000002,340.64800000000002,323.25299999999999,307.35449999999997,289.62450000000001,269.60500000000002,250.45500000000001,235.80500000000001,224.44749999999999,213.40299999999999,201.72,189.11449999999999,176.80199999999999,165.83199999999999,155.47300000000001,142.85300000000001,126.9945,112.59650000000001,102.101,93.792000000000002,85.671000000000006,76.959500000000006,69.215999999999994,62.974499999999999,57.343000000000004,51.282499999999999,44.658000000000001,39.136000000000003,34.959000000000003,31.271999999999998,27.695,24.077000000000002,21.0075,18.562999999999999,16.329000000000001,13.830500000000001,11.048,8.9480000000000004,7.65,6.5994999999999999,5.4744999999999999,4.2309999999999999,3.0914999999999999,2.1920000000000002,1.5195000000000001,1.03,0.68149999999999999,0.439,0.27600000000000002,0.16950000000000001,0.23300000000000001
18582,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1952,2311.7370000000001,2093.8045000000002,1984.9195,1868.9815000000001,1745.1295,1645.7280000000001,1568.8779999999999,1517.5825,1473.192,1431.9625000000001,1396.231,1359.4680000000001,1326.826,1294.9625000000001,1257.2594999999999,1222.3295000000001,1187.979,1161.1849999999999,1146.3095000000001,1131.665,1112.979,1090.1410000000001,1067.489,1044.2615000000001,1015.045,980.09199999999998,944.49350000000004,911.8365,877.6,838.13049999999998,796.7885,758.59050000000002,726.03200000000004,698.00049999999999,673.30200000000002,652.75400000000002,636.51499999999999,621.78200000000004,604.94200000000001,586.02700000000004,567.34,548.33900000000006,526.89649999999995,503.68200000000002,480.65649999999999,459.04750000000001,439.327,421.0145,403.74099999999999,387.03,370.97300000000001,354.23649999999998,335.55900000000003,318.1155,302.173,284.4545,264.5025,245.40799999999999,230.71700000000001,219.22900000000001,208.03399999999999,196.215,183.51949999999999,171.1465,160.11349999999999,149.71,137.16300000000001,121.55549999999999,107.39449999999999,96.994500000000002,88.6965,80.603499999999997,71.996499999999997,64.352500000000006,58.159500000000001,52.575499999999998,46.649500000000003,40.271999999999998,34.957999999999998,30.903500000000001,27.3325,23.913,20.52,17.659500000000001,15.3805,13.321999999999999,11.095000000000001,8.6989999999999998,6.9,5.7649999999999997,4.8490000000000002,3.9165000000000001,2.9455,2.0920000000000001,1.4430000000000001,0.97250000000000003,0.64100000000000001,0.41149999999999998,0.25700000000000001,0.1565,0.2145
18583,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1953,2380.2455,2162.4834999999998,2046.241,1956.52,1851.787,1734.5440000000001,1638.9670000000001,1564.173,1513.8035,1469.7525000000001,1428.6824999999999,1393.0340000000001,1356.2445,1323.5029999999999,1291.5029999999999,1253.6645000000001,1218.5835,1184.0740000000001,1157.0825,1141.9570000000001,1127.058,1108.1590000000001,1085.1714999999999,1062.4324999999999,1039.183,1010.0245,975.18449999999996,939.702,907.12649999999996,872.95450000000005,833.5575,792.29150000000004,754.15200000000004,721.62750000000005,693.61450000000002,668.92150000000004,648.35799999999995,632.06700000000001,617.26300000000003,600.35900000000004,581.39200000000005,562.654,543.61400000000003,522.16700000000003,498.9785,475.98349999999999,454.38650000000001,434.64299999999997,416.27350000000001,398.9085,382.02499999999998,365.8485,349.01650000000001,330.29649999999998,312.82249999999999,296.84649999999999,279.13600000000002,259.23649999999998,240.1755,225.4145,213.7765,202.4195,190.47450000000001,177.71299999999999,165.309,154.2415,143.809,131.34649999999999,115.99299999999999,102.07250000000001,91.774500000000003,83.498999999999995,75.453999999999994,66.983000000000004,59.474499999999999,53.363999999999997,47.8645,42.106000000000002,36.008499999999998,30.9345,27.039000000000001,23.6265,20.404499999999999,17.271999999999998,14.651,12.565,10.702,8.7484999999999999,6.7190000000000003,5.2089999999999996,4.2435,3.4750000000000001,2.7305000000000001,1.9964999999999999,1.3805000000000001,0.92549999999999999,0.60599999999999998,0.38800000000000001,0.24149999999999999,0.14599999999999999,0.19800000000000001
18584,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1954,2449.0929999999998,2230.3314999999998,2115.3220000000001,2017.9945,1939.0650000000001,1840.845,1727.5685000000001,1634.1424999999999,1560.3485000000001,1510.3354999999999,1466.454,1425.4794999999999,1389.8009999999999,1352.9204999999999,1320.0415,1287.886,1249.8979999999999,1214.652,1179.9665,1152.77,1137.3955000000001,1122.269,1103.204,1080.1310000000001,1057.3675000000001,1034.143,1005.063,970.33100000000002,934.94100000000003,902.41600000000005,868.28,828.93849999999998,787.74,749.66150000000005,717.17700000000002,689.18550000000005,664.5,643.91099999999994,627.5575,612.67049999999995,595.69449999999995,576.67250000000001,557.88800000000003,538.81399999999996,517.36800000000005,494.20049999999998,471.21949999999998,449.608,429.81200000000001,411.35300000000001,393.81400000000002,376.81299999999999,360.5215,343.60649999999998,324.86250000000001,307.36700000000002,291.35149999999999,273.63200000000001,253.76150000000001,234.70750000000001,219.85749999999999,208.0565,196.54750000000001,184.4965,171.69900000000001,159.292,148.20650000000001,137.75200000000001,125.374,110.27849999999999,96.608000000000004,86.423000000000002,78.191000000000003,70.225499999999997,61.9285,54.591500000000003,48.603000000000002,43.222999999999999,37.667000000000002,31.88,27.08,23.383500000000002,20.170500000000001,17.183499999999999,14.336,11.974500000000001,10.099,8.4435000000000002,6.7619999999999996,5.0754999999999999,3.8365,3.0430000000000001,2.4235000000000002,1.851,1.3169999999999999,0.88549999999999995,0.57650000000000001,0.36749999999999999,0.22800000000000001,0.13750000000000001,0.183
18585,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1955,2518.6235000000001,2298.7685000000001,2183.712,2087.1990000000001,2000.5795000000001,1927.93,1833.6195,1722.587,1630.231,1556.855,1507.0245,1463.2449999999999,1422.2525000000001,1386.481,1349.4765,1316.4465,1284.126,1245.9829999999999,1210.5650000000001,1175.7055,1148.3175000000001,1132.7249999999999,1117.421,1098.2535,1075.1590000000001,1052.4145000000001,1029.2335,1000.2255,965.57399999999996,930.24099999999999,897.73450000000003,863.61199999999997,824.31550000000004,783.18349999999998,745.16700000000003,712.72450000000003,684.75149999999996,660.06050000000005,639.43299999999999,623.00149999999996,608.02099999999996,590.96699999999998,571.89200000000005,553.06349999999998,533.95749999999998,512.50400000000002,489.34,466.34649999999999,444.68950000000001,424.8075,406.16500000000002,388.50650000000002,371.39150000000001,354.9975,338.01549999999997,319.25700000000001,301.7355,285.66250000000002,267.90699999999998,248.0385,228.97450000000001,214.0275,202.07249999999999,190.43,178.30250000000001,165.49700000000001,153.1045,142.00749999999999,131.52950000000001,119.2355,104.40649999999999,91.003,80.956500000000005,72.799499999999995,64.951499999999996,56.8675,49.741999999999997,43.908999999999999,38.683999999999997,33.365000000000002,27.922999999999998,23.430499999999999,19.972999999999999,16.994499999999999,14.27,11.7235,9.6300000000000008,7.9725000000000001,6.5294999999999996,5.1105,3.7404999999999999,2.7524999999999999,2.1240000000000001,1.643,1.22,0.84499999999999997,0.55200000000000005,0.34899999999999998,0.216,0.1295,0.17050000000000001
18586,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1956,2588.7249999999999,2368.1149999999998,2252.7925,2155.7930000000001,2069.7955000000002,1989.4335000000001,1920.5519999999999,1828.4465,1718.549,1626.6665,1553.5260000000001,1503.809,1460.019,1418.9490000000001,1383.0550000000001,1345.9155000000001,1312.731,1280.2435,1241.944,1206.3605,1171.346,1143.8009999999999,1128.0415,1112.6215,1093.414,1070.3375000000001,1047.6289999999999,1024.4829999999999,995.51599999999996,960.90800000000002,925.59799999999996,893.08450000000005,858.96349999999995,819.70749999999998,778.64200000000005,740.68849999999998,708.28150000000005,680.31349999999998,655.60249999999996,634.91999999999996,618.4,603.31799999999998,586.18449999999996,567.05949999999996,548.18600000000004,529.03949999999998,507.56099999999998,484.37150000000003,461.33300000000003,439.59699999999998,419.517,400.75799999999998,382.983,365.76650000000001,349.286,332.24549999999999,313.46850000000001,295.90199999999999,279.74200000000002,261.9205,242.036,222.959,207.92599999999999,195.83699999999999,184.08949999999999,171.91200000000001,159.1155,146.745,135.63550000000001,125.13,112.92400000000001,98.382999999999996,85.276499999999999,75.402000000000001,67.358999999999995,59.668999999999997,51.837000000000003,44.957000000000001,39.316000000000003,34.283000000000001,29.239000000000001,24.173500000000001,20.023499999999999,16.837499999999999,14.121,11.676,9.4329999999999998,7.6055000000000001,6.1680000000000001,4.9375,3.7690000000000001,2.6855000000000002,1.9219999999999999,1.4404999999999999,1.083,0.78300000000000003,0.52649999999999997,0.33350000000000002,0.20499999999999999,0.122,0.16
18587,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1957,2658.9989999999998,2438.19,2322.8240000000001,2225.1025,2138.4225000000001,2058.598,1982.0050000000001,1915.2425000000001,1824.2415000000001,1714.87,1623.2684999999999,1550.2905000000001,1500.575,1456.7125000000001,1415.5325,1379.5,1342.2175,1308.867,1276.203,1237.7460000000001,1202.0070000000001,1166.8675000000001,1139.2125000000001,1123.3440000000001,1107.866,1088.6579999999999,1065.6165000000001,1042.9355,1019.7954999999999,990.83749999999998,956.24099999999999,920.9325,888.40099999999995,854.28099999999995,815.06899999999996,774.07249999999999,736.18,703.79750000000001,675.82249999999999,651.07899999999995,630.33249999999998,613.71699999999998,598.53449999999998,581.32550000000003,562.15099999999995,543.22500000000002,524.02099999999996,502.48849999999999,479.24200000000002,456.12700000000001,434.19450000000001,414.00349999999997,395.12950000000001,377.25150000000002,359.9495,343.38900000000001,326.28500000000003,307.46949999999998,289.82900000000001,273.55,255.64099999999999,235.73750000000001,216.66249999999999,201.56700000000001,189.3715,177.54400000000001,165.33250000000001,152.553,140.20500000000001,129.0795,118.5485,106.44799999999999,92.225499999999997,79.454999999999998,69.795000000000002,61.906999999999996,54.415500000000002,46.872999999999998,40.273499999999999,34.860500000000002,30.059000000000001,25.327999999999999,20.670500000000001,16.89,13.9985,11.56,9.3994999999999997,7.4535,5.8875000000000002,4.6665000000000001,3.6440000000000001,2.7075,1.8754999999999999,1.304,0.95050000000000001,0.69499999999999995,0.48749999999999999,0.31900000000000001,0.19600000000000001,0.11650000000000001,0.15049999999999999
18588,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1958,2729.0794999999998,2508.6345000000001,2393.6439999999998,2295.384,2207.7719999999999,2127.1795000000002,2051.0839999999998,1976.626,1910.912,1820.4075,1711.3589999999999,1619.96,1547.0305000000001,1497.2515000000001,1453.2809999999999,1411.97,1375.7850000000001,1338.3405,1304.8095000000001,1271.9590000000001,1233.3515,1197.4835,1162.2650000000001,1134.558,1118.635,1103.1395,1083.9469999999999,1060.932,1038.2539999999999,1015.091,986.1105,951.50699999999995,916.19100000000003,883.64549999999997,849.53049999999996,810.36649999999997,769.43949999999995,731.59849999999994,699.23099999999999,671.23950000000002,646.45399999999995,625.63850000000002,608.93100000000004,593.65099999999995,576.36950000000002,557.13750000000005,538.14350000000002,518.85450000000003,497.23599999999999,473.90199999999999,450.59300000000002,428.55900000000003,408.25799999999998,389.2835,371.31650000000002,353.93549999999999,337.28949999999998,320.10000000000002,301.21800000000002,283.47250000000003,267.04950000000002,249.04650000000001,229.13800000000001,210.09299999999999,194.9665,182.68950000000001,170.798,158.56049999999999,145.79849999999999,133.47049999999999,122.33150000000001,111.7885,99.822000000000003,85.962000000000003,73.575000000000003,64.171499999999995,56.481000000000002,49.226500000000001,42.009,35.726500000000001,30.581,26.052499999999998,21.67,17.446000000000002,14.05,11.4655,9.3115000000000006,7.4320000000000004,5.7735000000000003,4.4569999999999999,3.4455,2.6190000000000002,1.8925000000000001,1.2735000000000001,0.86150000000000004,0.61,0.433,0.29549999999999998,0.187,0.1115,0.14149999999999999
18589,Estimates,Brazil,NA,76,NA,NA,76,Country/Area,931,1959,2797.7089999999998,2579.0630000000001,2464.8780000000002,2366.48,2278.11,2196.4935,2119.5904999999998,2045.6185,1972.2329999999999,1906.9684999999999,1816.7555,1707.9425000000001,1616.6279999999999,1543.6814999999999,1493.8019999999999,1449.7025000000001,1408.2465,1371.8895,1334.271,1300.5505000000001,1267.5235,1228.7945,1192.8454999999999,1157.6079999999999,1129.902,1113.9635000000001,1098.4659999999999,1079.2809999999999,1056.2684999999999,1033.5625,1010.345,981.32249999999999,946.70299999999997,911.38250000000005,878.82500000000005,844.71900000000005,805.601,764.7355,726.93550000000005,694.57299999999998,666.55399999999997,641.72349999999994,620.84199999999998,604.04499999999996,588.66899999999998,571.30600000000004,552.00099999999998,532.91099999999994,513.50300000000004,491.76600000000002,468.226,444.8175,422.68349999999998,402.28649999999999,383.22550000000001,365.17700000000002,347.71100000000001,330.95650000000001,313.65199999999999,294.67149999999998,276.79599999999999,260.22149999999999,242.13399999999999,222.25,203.2715,188.1405,175.79900000000001,163.85050000000001,151.58449999999999,138.83750000000001,126.53400000000001,115.396,104.87,93.078999999999994,79.631500000000003,67.674000000000007,58.570999999999998,51.118000000000002,44.139499999999998,37.283999999999999,31.356000000000002,26.518000000000001,22.302499999999998,18.299499999999998,14.5205,11.513999999999999,9.2409999999999997,7.3665000000000003,5.76,4.3734999999999999,3.2919999999999998,2.4780000000000002,1.8314999999999999,1.286,0.84150000000000003,0.55300000000000005,0.3805,0.26200000000000001,0.17299999999999999,0.106,0.13450000000000001
