name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.612,1,1,56,NA
inf,1,2,0.612,1,1,39,NA
inf,1,3,0.612,1,1,41,NA
inf,1,4,0.612,1,1,NA,NA
inf,1,5,0.612,1,1,9,NA
inf,1,6,0.612,1,1,59,NA
inf,1,7,0.612,1,1,NA,NA
inf,1,8,0.612,1,1,50,NA
inf,1,9,0.612,1,1,7,NA
inf,1,10,0.612,1,1,18,NA
inf,1,11,0.612,1,1,7,NA
inf,1,12,0.612,1,1,55,NA
inf,1,13,0.612,1,1,63,NA
inf,1,14,0.612,1,1,NA,NA
inf,1,15,0.612,1,1,60,NA
inf,1,16,0.612,1,1,4,NA
inf,1,17,0.612,1,1,18,NA
inf,1,18,0.612,1,1,59,NA
inf,1,19,0.612,1,1,22,NA
inf,1,20,0.612,1,1,27,NA
inf,1,21,0.612,1,1,NA,NA
inf,1,22,0.612,1,1,40,NA
inf,1,23,0.612,1,1,61,NA
inf,1,24,0.612,1,1,25,NA
inf,1,25,0.612,1,1,29,NA
inf,1,26,0.612,1,1,32,NA
inf,1,27,0.612,1,1,49,NA
inf,1,28,0.612,1,1,9,NA
inf,1,29,0.612,1,1,14,NA
inf,1,30,0.612,1,1,4,NA
inf,1,31,0.612,1,1,29,NA
inf,1,32,0.612,1,1,49,NA
inf,1,33,0.612,1,1,10,NA
inf,1,34,0.612,1,1,9,NA
inf,1,35,0.612,1,1,35,NA
inf,1,36,0.612,1,1,17,NA
inf,1,37,0.612,1,1,59,NA
inf,1,38,0.612,1,1,55,NA
inf,1,39,0.612,1,1,33,NA
inf,1,40,0.612,1,1,49,NA
inf,1,41,0.612,1,1,54,NA
inf,1,42,0.612,1,1,9,NA
inf,1,43,0.612,1,1,52,NA
inf,1,44,0.612,1,1,26,NA
inf,1,45,0.612,1,1,13,NA
inf,1,46,0.612,1,1,2,NA
inf,1,47,0.612,1,1,NA,NA
inf,1,48,0.612,1,1,59,NA
inf,1,49,0.612,1,1,53,NA
inf,1,50,0.612,1,1,11,NA
inf,2,1,0.612,1,2,26,NA
inf,2,2,0.612,1,2,44,NA
inf,2,3,0.612,1,2,51,NA
inf,2,4,0.612,1,2,51,NA
inf,2,5,0.612,1,2,16,NA
inf,2,6,0.612,1,2,NA,NA
inf,2,7,0.612,1,2,4,NA
