name,level,run,inhib_level,r0,serotype_varying,time_to_extinction,time_to_reemergence
inf,1,1,0.812,1,1,187,NA
inf,1,2,0.812,1,1,179,NA
inf,1,3,0.812,1,1,169,NA
inf,1,4,0.812,1,1,NA,NA
inf,1,5,0.812,1,1,15,NA
inf,1,6,0.812,1,1,198,NA
inf,1,7,0.812,1,1,NA,NA
inf,1,8,0.812,1,1,187,NA
inf,1,9,0.812,1,1,11,NA
inf,1,10,0.812,1,1,110,NA
inf,1,11,0.812,1,1,18,NA
inf,1,12,0.812,1,1,200,NA
inf,1,13,0.812,1,1,201,NA
inf,1,14,0.812,1,1,NA,NA
inf,1,15,0.812,1,1,198,NA
inf,1,16,0.812,1,1,6,NA
inf,1,17,0.812,1,1,50,NA
inf,1,18,0.812,1,1,201,NA
inf,1,19,0.812,1,1,64,NA
inf,1,20,0.812,1,1,135,NA
inf,1,21,0.812,1,1,NA,NA
inf,1,22,0.812,1,1,153,NA
inf,1,23,0.812,1,1,200,NA
inf,1,24,0.812,1,1,125,NA
inf,1,25,0.812,1,1,135,NA
inf,1,26,0.812,1,1,138,NA
inf,1,27,0.812,1,1,187,NA
inf,1,28,0.812,1,1,17,NA
inf,1,29,0.812,1,1,38,NA
inf,1,30,0.812,1,1,7,NA
inf,1,31,0.812,1,1,123,NA
inf,1,32,0.812,1,1,179,NA
inf,1,33,0.812,1,1,21,NA
inf,1,34,0.812,1,1,16,NA
inf,1,35,0.812,1,1,159,NA
inf,1,36,0.812,1,1,40,NA
inf,1,37,0.812,1,1,197,NA
inf,1,38,0.812,1,1,197,NA
inf,1,39,0.812,1,1,168,NA
inf,1,40,0.812,1,1,183,NA
inf,1,41,0.812,1,1,188,NA
inf,1,42,0.812,1,1,21,NA
inf,1,43,0.812,1,1,187,NA
inf,1,44,0.812,1,1,112,NA
inf,1,45,0.812,1,1,31,NA
inf,1,46,0.812,1,1,3,NA
inf,1,47,0.812,1,1,NA,NA
inf,1,48,0.812,1,1,198,NA
inf,1,49,0.812,1,1,191,NA
inf,1,50,0.812,1,1,25,NA
inf,2,1,0.812,1,2,126,NA
inf,2,2,0.812,1,2,181,NA
inf,2,3,0.812,1,2,196,NA
inf,2,4,0.812,1,2,186,NA
inf,2,5,0.812,1,2,39,NA
inf,2,6,0.812,1,2,NA,NA
inf,2,7,0.812,1,2,6,NA
inf,2,8,0.812,1,2,180,NA
inf,2,9,0.812,1,2,189,NA
inf,2,10,0.812,1,2,196,NA
inf,2,11,0.812,1,2,113,NA
inf,2,12,0.812,1,2,167,NA
inf,2,13,0.812,1,2,NA,NA
inf,2,14,0.812,1,2,71,NA
inf,2,15,0.812,1,2,22,NA
inf,2,16,0.812,1,2,150,NA
inf,2,17,0.812,1,2,134,NA
inf,2,18,0.812,1,2,105,NA
inf,2,19,0.812,1,2,47,NA
inf,2,20,0.812,1,2,5,NA
inf,2,21,0.812,1,2,201,NA
inf,2,22,0.812,1,2,61,NA
inf,2,23,0.812,1,2,NA,NA
inf,2,24,0.812,1,2,NA,NA
inf,2,25,0.812,1,2,22,NA
inf,2,26,0.812,1,2,11,NA
inf,2,27,0.812,1,2,154,NA
inf,2,28,0.812,1,2,158,NA
inf,2,29,0.812,1,2,132,NA
inf,2,30,0.812,1,2,46,NA
inf,2,31,0.812,1,2,130,NA
inf,2,32,0.812,1,2,NA,NA
inf,2,33,0.812,1,2,16,NA
inf,2,34,0.812,1,2,53,NA
inf,2,35,0.812,1,2,189,NA
inf,2,36,0.812,1,2,26,NA
inf,2,37,0.812,1,2,23,NA
inf,2,38,0.812,1,2,157,NA
inf,2,39,0.812,1,2,7,NA
inf,2,40,0.812,1,2,171,NA
inf,2,41,0.812,1,2,158,NA
inf,2,42,0.812,1,2,195,NA
inf,2,43,0.812,1,2,7,NA
inf,2,44,0.812,1,2,93,NA
inf,2,45,0.812,1,2,NA,NA
inf,2,46,0.812,1,2,17,NA
inf,2,47,0.812,1,2,NA,NA
inf,2,48,0.812,1,2,9,NA
inf,2,49,0.812,1,2,38,NA
inf,2,50,0.812,1,2,191,NA
inf,3,1,0.812,1,3,24,NA
inf,3,2,0.812,1,3,6,NA
inf,3,3,0.812,1,3,21,NA
inf,3,4,0.812,1,3,NA,NA
inf,3,5,0.812,1,3,200,NA
inf,3,6,0.812,1,3,134,NA
inf,3,7,0.812,1,3,158,NA
inf,3,8,0.812,1,3,37,NA
inf,3,9,0.812,1,3,16,NA
inf,3,10,0.812,1,3,NA,NA
inf,3,11,0.812,1,3,202,NA
inf,3,12,0.812,1,3,5,NA
inf,3,13,0.812,1,3,73,NA
inf,3,14,0.812,1,3,198,NA
inf,3,15,0.812,1,3,74,NA
inf,3,16,0.812,1,3,NA,NA
inf,3,17,0.812,1,3,199,NA
inf,3,18,0.812,1,3,NA,NA
inf,3,19,0.812,1,3,NA,NA
inf,3,20,0.812,1,3,11,NA
inf,3,21,0.812,1,3,108,NA
inf,3,22,0.812,1,3,197,NA
inf,3,23,0.812,1,3,83,NA
inf,3,24,0.812,1,3,197,NA
inf,3,25,0.812,1,3,NA,NA
inf,3,26,0.812,1,3,200,NA
inf,3,27,0.812,1,3,12,NA
inf,3,28,0.812,1,3,190,NA
inf,3,29,0.812,1,3,NA,NA
inf,3,30,0.812,1,3,160,NA
inf,3,31,0.812,1,3,NA,NA
inf,3,32,0.812,1,3,NA,NA
inf,3,33,0.812,1,3,195,NA
inf,3,34,0.812,1,3,48,NA
inf,3,35,0.812,1,3,168,NA
inf,3,36,0.812,1,3,NA,NA
inf,3,37,0.812,1,3,NA,NA
inf,3,38,0.812,1,3,4,NA
inf,3,39,0.812,1,3,177,NA
inf,3,40,0.812,1,3,105,NA
inf,3,41,0.812,1,3,20,NA
inf,3,42,0.812,1,3,107,NA
inf,3,43,0.812,1,3,149,NA
inf,3,44,0.812,1,3,16,NA
inf,3,45,0.812,1,3,195,NA
inf,3,46,0.812,1,3,34,NA
inf,3,47,0.812,1,3,144,NA
inf,3,48,0.812,1,3,129,NA
inf,3,49,0.812,1,3,22,NA
inf,3,50,0.812,1,3,NA,NA
inf,4,1,0.812,1,4,6,NA
inf,4,2,0.812,1,4,131,NA
inf,4,3,0.812,1,4,NA,NA
inf,4,4,0.812,1,4,172,NA
inf,4,5,0.812,1,4,83,NA
inf,4,6,0.812,1,4,35,NA
inf,4,7,0.812,1,4,187,NA
inf,4,8,0.812,1,4,5,NA
inf,4,9,0.812,1,4,164,NA
inf,4,10,0.812,1,4,156,NA
inf,4,11,0.812,1,4,160,NA
inf,4,12,0.812,1,4,35,NA
inf,4,13,0.812,1,4,39,NA
inf,4,14,0.812,1,4,28,NA
inf,4,15,0.812,1,4,3,NA
inf,4,16,0.812,1,4,185,NA
inf,4,17,0.812,1,4,NA,NA
inf,4,18,0.812,1,4,23,NA
inf,4,19,0.812,1,4,197,NA
inf,4,20,0.812,1,4,191,NA
inf,4,21,0.812,1,4,64,NA
inf,4,22,0.812,1,4,39,NA
inf,4,23,0.812,1,4,67,NA
inf,4,24,0.812,1,4,60,NA
inf,4,25,0.812,1,4,189,NA
inf,4,26,0.812,1,4,95,NA
inf,4,27,0.812,1,4,59,NA
inf,4,28,0.812,1,4,29,NA
